Data: HR
Type: Classification
Data Count: 14999
Sampling Type: Random
---
All Data Result (Acc): 
1,Decision Tree
2,Naive Bayes
3,Logistic Regression
All Data Result (Time): 
1,Naive Bayes
2,Decision Tree
3,Logistic Regression
---
Percentage Sampling,Acc. Decision Tree,Acc. Naive Bayes,Acc. Logistic Regression,Time. Decision Tree,Time. Naive Bayes,Time. Logistic Regression,Acc. Recommender,Acc. Runtime Recommender,Total Time
Iteration-1
0.1,0.94528859060402692,0.72250111856823263,0.77917673378076069,0.0037017189406023387,0.0012407484517218403,0.004749299169559906,0.33333333333333337,1.0,0.17343024244627947
0.2,0.96397196635518179,0.68192783993896222,0.7632626066215551,0.007332695059585115,0.001742179436051483,0.008872176151825117,0.33333333333333337,1.0,0.26893231854649535
0.3,0.96932788913635248,0.79262014352882948,0.76150408314773566,0.011484162404991949,0.002126316622876878,0.01396162733414652,1.0,1.0,0.3665009647414843
0.4,0.97016078933552596,0.78545719664036107,0.76446105405848341,0.01568547961433797,0.0026182174861593133,0.01808193851459139,1.0,1.0,0.46339113962653666
0.5,0.97052654837312313,0.81117760873056377,0.76637721951505688,0.020820382143192262,0.003369630876419283,0.022057465163741963,1.0,1.0,0.5759484669700665
Iteration-2
0.1,0.95529753914988791,0.75889932885906042,0.7771901565995526,0.0035320094773387822,0.0012183893215729213,0.00516239326264456,0.33333333333333337,1.0,0.17843575525476219
0.2,0.9633153405408208,0.79592662511064938,0.76126756963966269,0.006735596321666204,0.0016619064933842687,0.009194367551843996,1.0,1.0,0.26681333278596187
0.3,0.96132632973221832,0.74885073232186072,0.77749820657550572,0.012044606831191018,0.0021889954959180002,0.013477790419442748,0.33333333333333337,1.0,0.37222966712020256
0.4,0.97349579952536902,0.80613306749926161,0.77362357302844365,0.014040434104344524,0.0025416099746644605,0.017191238739795445,1.0,1.0,0.4419465345547531
0.5,0.97146417445482869,0.79730716510903432,0.76196688918558075,0.020112220840761807,0.0033527698930289063,0.020960401613963064,1.0,1.0,0.5520073367270344
Iteration-3
0.1,0.9519277004903921,0.81379110182674774,0.7878173548454005,0.003469697147414408,0.0012693388148639073,0.00487868888993237,1.0,1.0,0.17362414375527813
0.2,0.96264980351633533,0.7452886254291714,0.77227438453019848,0.0074334944168157335,0.0016307503284229696,0.009404396757998867,0.33333333333333337,1.0,0.2761341577132397
0.3,0.96688538489353315,0.8137424426238592,0.76438432343424467,0.010149945458384657,0.0022736669559915157,0.01345066622876967,1.0,1.0,0.3547345641362485
0.4,0.97199576434008628,0.80845812997628708,0.7721283221157097,0.016652420357511133,0.0026852948766062923,0.01757134395233173,1.0,1.0,0.4897536537017917
0.5,0.97559660254210834,0.77490396865890732,0.76449952444359903,0.01980322499296161,0.0031903912921089628,0.021890688045416162,1.0,1.0,0.5635629750398801
Iteration-4
0.1,0.95196420581655483,0.84255480984340048,0.77851901565995529,0.0037097828891807794,0.0012730042460358248,0.004636770432578707,1.0,1.0,0.17464826522473498
0.2,0.96301074086008354,0.69437248191646572,0.75887647640529343,0.00715088967345423,0.0017260515388946018,0.009262178028525803,0.33333333333333337,1.0,0.27120745167495564
0.3,0.96421862604534136,0.79282495222198635,0.76082335111668586,0.0110674028807356,0.002155273529136359,0.01354266855118702,1.0,1.0,0.3637090058177721
0.4,0.97416304952698951,0.79313132999443514,0.7659624373956595,0.015328100075068463,0.00259329255418983,0.017959513113447123,1.0,1.0,0.460978919372244
0.5,0.97239695525384628,0.78650949708355034,0.7606275192192935,0.020282296847142334,0.0032406076991655652,0.02196692901379471,1.0,1.0,0.5603216342544801
Iteration-5
0.1,0.95603819429011661,0.74734963035394164,0.76518162288694314,0.0033223468143006585,0.001196396734540528,0.004641902036219392,0.33333333333333337,1.0,0.1747901174110904
0.2,0.96432434804831169,0.74123249517587231,0.77626145846064953,0.007633260415689236,0.0016160886037361877,0.00975224617622139,0.33333333333333337,1.0,0.27995207082199336
0.3,0.96687392694943364,0.75462113118802776,0.75549717611774214,0.011018286103031016,0.00210505712207798,0.013508946584403603,0.33333333333333337,1.0,0.36900005571455274
0.4,0.97066110183639398,0.76762771285475795,0.77129799666110199,0.01581230353288987,0.002579730458853291,0.01830406364361359,0.33333333333333337,1.0,0.4687624624659854
0.5,0.9690623611182716,0.78943689286558738,0.77290158382503793,0.020219251430983576,0.0033300442197621294,0.022757562517593755,1.0,1.0,0.5709755764990145
